127.0.0.1 - - [14/Nov/2014:17:11:02 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:18 -0700] "GET /com.schwartz.customerProject/ HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:19 -0700] "GET /com.schwartz.customerProject/js/customeValidatorMessages.js HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/polyfill.js HTTP/1.1" 200 450
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/jquery-2.1.1.js HTTP/1.1" 200 247351
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/jquery.validate.js HTTP/1.1" 200 42696
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/bootstrap/css/bootstrap.css HTTP/1.1" 200 132546
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/bootstrap.js HTTP/1.1" 200 60681
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/underscore.js HTTP/1.1" 200 42933
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:20 -0700] "GET /com.schwartz.customerProject/js/custom.js HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:25 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:11:33 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 528
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:13:38 -0700] "POST /com.schwartz.customerProject/customers HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:13:38 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 679
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:13:47 -0700] "POST /com.schwartz.customerProject/customers HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:13:47 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 782
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:21:14 -0700] "GET /com.schwartz.customerProject/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 220790
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:24:01 -0700] "GET /com.schwartz.customerProject/ HTTP/1.1" 200 3853
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:24:01 -0700] "GET /com.schwartz.customerProject/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:24:01 -0700] "GET /com.schwartz.customerProject/js/jquery-2.1.1.js HTTP/1.1" 304 -
